Espacialidades;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;mortalidade;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23
Itaiçaba;0,44;88,18;70,21;99,78;99,36;18,36;14,32;32,7;48;7316;25;1,69;47,77;10,37;44,71;52;104,95;95,88;22,82;10,97;296,81;11,24;18,08;39,22
Itaitinga;0,45;92,98;85,6;96,06;99,25;41,29;35,31;35,6;49;35817;23,4;1,86;47,93;5,63;59,73;51;108,21;87,86;17,2;9,1;300,15;9,11;12,05;33,2
Itapagé;0,54;79,83;61,05;93,51;97,38;41,35;29,82;38,35;52;48350;24,8;2,54;56,38;7,21;57,26;48;105,99;93,03;23,36;9,56;263,18;22,46;32,47;36,78
Itapipoca;0,56;76,96;53,97;87,26;97,96;36,65;25,14;32,93;50;116065;24,6;2,6;58,34;7,03;49,9;50;107,35;94,34;22,68;9,79;264,08;25,35;35;32,44
Itapiúna;0,5;61,27;53,78;94,69;99,54;35,79;27,87;40,27;47;18626;22,3;2,48;57,97;8,38;59,34;53;104,92;91,25;30,42;9,27;209,53;26,66;37,37;32,81
Itarema;0,53;83,03;44,95;80,57;97,27;41,17;38,91;38,01;48;37471;25,9;2,6;61,23;6,4;65,45;52;110,98;93,18;26,9;10,16;214,89;27,82;38;33,88
Itatira;0,54;53,92;27,28;76,42;98,18;44,63;38,62;50,26;56;18894;27,1;2,82;68,1;8,38;73,96;44;118,1;94,73;32,57;8,83;196,02;33,92;46,92;32,22
Jaguaretama;0,56;62,13;63,52;96,99;99,14;27,55;19,25;37,63;51;17863;22,1;2,5;54,95;9,56;47,07;49;121,67;93,5;28,53;9,46;247,85;27,99;35,67;33,14
Jaguaribara;0,45;87,99;85,85;89,4;98,96;28,52;22,01;29,66;46;10399;29,2;2,16;51,1;8,82;44,58;54;105,96;92,69;25,97;9,74;287,08;12,86;18,51;37,39
Jaguaribe;0,52;83,81;79,94;93,71;99,76;30,07;24,07;43,16;51;34409;24,7;2,13;55,2;9,91;57,05;49;107,68;92,54;25,56;9,46;294,97;19,58;29,27;35,97
Jaguaruana;0,47;84,38;59,5;97,78;99,2;26,92;28,1;43,69;56;32236;21,6;1,94;46,28;7,89;61,25;44;111,65;94,6;27,15;9,84;274,9;14,91;20,6;30,81
Jardim;0,53;48,55;50,22;96,89;99,1;40,69;14,77;43,65;49;26688;21,6;2,09;60,83;8,88;59,99;51;113,28;95,35;26,29;9,58;241,09;25,63;38,78;33,8
Jati;0,5;80,33;70,72;87,73;99,33;33,37;13,53;33,65;46;7660;22;2,13;54,78;10,07;41;54;110,7;95,06;26,25;9,97;264,55;18,98;29,07;41,23
Jijoca de Jericoacoara;0,59;93,34;67,26;96,35;99,05;30,04;21,77;35,96;47;17002;31,7;2;52,18;5,49;51,31;53;105,68;93,68;23,51;10,45;365,46;18,71;27,4;35,4
Juazeiro do Norte;0,54;95,04;90,63;95,76;99,58;40,05;18,45;28,82;46;249939;18,12;2,25;52,19;7,54;45,81;54;111,68;94,64;16,2;10,14;439,53;6,73;10,55;38,07
